lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox
reminiscing,~,sex,,2.6122330942175087,0.400714848398917,6.518932614189019,7.080935837677771e-11,1.8365181192207118,3.3973213956062236,2.6122330942175087,0.13257415963086563,0.3141855462649236
reminiscing,~,pswq_total,,0.0356209935682819,0.020868824581094892,1.7068998510127409,0.08784066852859396,-0.004372267506019554,0.07727960535824926,0.0356209935682819,0.041144255840456855,0.004284304240507453
reminiscing,~,masq_aa,,-0.1411048697662466,0.023341477929486973,-6.045241444972545,1.4918641877414984e-9,-0.18461712912552306,-0.0938838716724208,-0.1411048697662466,-0.17559837063843223,-0.01697134558408503
savoring_moment,~,sex,,1.6346053538307914,0.37209838074943336,4.392938637729562,1.1182869878556545e-5,0.9109562510587648,2.3701390532087965,1.6346053538307914,0.07488884127586788,0.1774779607950669
savoring_moment,~,pswq_total,,-0.07484261388673623,0.019916964444447825,-3.7577319623924827,1.7146039939053281e-4,-0.11371367824688569,-0.035057902897379936,-0.07484261388673623,-0.07803858174165937,-0.008126068143641661
savoring_moment,~,masq_aa,,-0.07702955410083878,0.02166245262231012,-3.555901792094686,3.76684779743508e-4,-0.1195477565920893,-0.03416209623491123,-0.07702955410083878,-0.08653525977037406,-0.008363516093184978
anticipating,~,sex,,2.8925332434540505,0.4078104350191429,7.092837738000189,1.3138379273414102e-12,2.0818221012168228,3.6741726375557042,2.8925332434540505,0.14188493867132027,0.33625102423681774
anticipating,~,pswq_total,,0.0609708229286551,0.022050695542919257,2.7650294663033232,0.005691765408323279,0.01793469147519722,0.10559827692807733,0.0609708229286551,0.06806693918735597,0.007087732424413053
anticipating,~,masq_aa,,-0.17883983411925874,0.0237492863716044,-7.530324546218232,5.062616992290714e-14,-0.2251768374411346,-0.13225296878198642,-0.17883983411925874,-0.21510659223571102,-0.02078976189229011
phq_total,~,sex,,0.5286056564731371,0.2110115148857946,2.505103367269949,0.01224156115576358,0.11885368689172086,0.9432254208906093,0.5286056564731371,0.03953249377966712,0.09368747415003553
phq_total,~,pswq_total,,0.06568770277530717,0.011389038936361038,5.767624743611187,8.039657384273369e-9,0.043815158138096326,0.08846483659513361,0.06568770277530717,0.11180538112597546,0.011642166292349447
phq_total,~,masq_aa,,0.10134141329561627,0.01201728524403124,8.432970611723697,0,0.07745146502051453,0.12470186479272373,0.10134141329561627,0.185840722703745,0.017961255091003003
masq_pa,~,sex,,-0.5868609123026204,0.6624366057507433,-0.8859125646257539,0.3756646449329013,-1.8824243512680205,0.6984846833355813,-0.5868609123026204,-0.02138188333119381,-0.05067261005680891
masq_pa,~,pswq_total,,-0.23977015217947492,0.03557077031338824,-6.740651103898907,1.5767831484936323e-11,-0.3076043239153078,-0.16737028281434677,-0.23977015217947492,-0.19882093745726148,-0.020702996519194168
