lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox
reminiscing,~~,savoring_moment,,26.88201100074577,1.43246524955048,18.76625698890886,0,24.272906822610768,29.895117603884163,26.88201100074577,0.5813342610703344,0.5813342610703344
reminiscing,~~,reminiscing,,48.36912712814503,1.7785104817821267,27.196425111690967,0,45.14850687684183,52.181112638514314,48.36912712814503,0.6997079360237001,0.6997079360237001
savoring_moment,~~,savoring_moment,,44.20825990971401,1.6396248139988832,26.962424288941094,0,41.24032147774067,47.69363419786302,44.20825990971401,0.5211544458273929,0.5211544458273929
anticipating,~~,anticipating,,52.47023668708083,1.925497579388736,27.25022209778,0,49.03283026433455,56.692306969799326,52.47023668708083,0.7090608993407734,0.7090608993407734
phq_total,~~,phq_total,,12.399170640385687,0.513589765366606,24.142168470851484,0,11.50477028618316,13.534102858873183,12.399170640385687,0.3894862096683002,0.3894862096683002
masq_pa,~~,masq_pa,,128.51029775334692,4.1045891138733115,31.308931098362162,0,120.89809444632803,137.07946544214093,128.51029775334692,0.9581072140932416,0.9581072140932416
masq_na,~~,masq_na,,20.954206846658234,0.7628275727106427,27.469126177753704,0,19.555954504486397,22.595896410133435,20.954206846658234,0.5942073675292562,0.5942073675292562
sex,~~,sex,,0.1780513872824421,0,NA,NA,0.1780513872824421,0.1780513872824421,0.1780513872824421,1,0.1780513872824421
sex,~~,pswq_total,,0.6235990807983731,0,NA,NA,0.6235990807983731,0.6235990807983731,0.6235990807983731,0.1538876888754785,0.6235990807983731
sex,~~,masq_aa,,0.19878881128711146,0,NA,NA,0.19878881128711146,0.19878881128711146,0.19878881128711146,0.04553182426970634,0.19878881128711146
pswq_total,~~,pswq_total,,92.22694356291474,0,NA,NA,92.22694356291474,92.22694356291474,92.22694356291474,1,92.22694356291474
pswq_total,~~,masq_aa,,34.75908315138254,0,NA,NA,34.75908315138254,34.75908315138254,34.75908315138254,0.34981239954653054,34.75908315138254
masq_aa,~~,masq_aa,,107.05535836792818,0,NA,NA,107.05535836792818,107.05535836792818,107.05535836792818,1,107.05535836792818
reminiscing,~1,,,33.525530918639205,1.4756814042392181,22.71867817967332,0,30.593624858346015,36.359185857281574,33.525530918639205,4.032273103350091,4.032273103350091
savoring_moment,~1,,,35.383692782361344,1.3670932556906659,25.882428016576846,0,32.790919027718004,38.121130172834945,35.383692782361344,3.841799261023761,3.841799261023761
anticipating,~1,,,30.42333545297254,1.532412979435245,19.853222245732184,0,27.364477652952758,33.426903457853776,30.42333545297254,3.536650003906796,3.536650003906796
phq_total,~1,,,5.399896565188608,0.8914565009617617,6.057386489820699,1.3835090850733422e-9,3.6268450683396796,7.119650333848406,5.399896565188608,0.9570511848839487,0.9570511848839487
masq_pa,~1,,,55.8929219757808,1.9847027091568687,28.161861077685003,0,51.92458113643283,59.705614358902686,55.8929219757808,4.826084308634129,4.826084308634129
masq_na,~1,,,1.8496388146129086,0.7014028592406036,2.637056279775477,0.008362895546016436,0.4970704293404059,3.261230603803222,1.8496388146129086,0.311472947956641,0.311472947956641
sex,~1,,,1.7682323856613102,0,NA,NA,1.7682323856613102,1.7682323856613102,1.7682323856613102,4.190507860349168,1.7682323856613102
pswq_total,~1,,,47.703955500618044,0,NA,NA,47.703955500618044,47.703955500618044,47.703955500618044,4.967358253671781,47.703955500618044
masq_aa,~1,,,30.063040791100125,0,NA,NA,30.063040791100125,30.063040791100125,30.063040791100125,2.9055523278445405,30.063040791100125
pa_rem,:=,a1*b1,pa_rem,0.0021432885450701137,0.005510040066827945,0.3889787586070995,0.6972918596315416,-0.008812143997252534,0.012970718615740538,0.0021432885450701137,0.0043993881120906264,0.0043993881120906264
pa_mom,:=,a2*b2,pa_mom,-0.014996534311843506,0.006692590691619119,-2.240766693027127,0.025041191474496793,-0.02827863767251659,-0.002230962213146174,-0.014996534311843506,-0.030782404415792382,-0.030782404415792382
pa_ant,:=,a3*b3,pa_ant,0.0013544832524587506,0.005240098803802735,0.258484296417427,0.7960331668814493,-0.008766810866800992,0.01183049736838774,0.0013544832524587506,0.0027802591175132415,0.0027802591175132415
na_rem,:=,ai*b1,na_rem,-0.0017476065828070791,0.004585923775203499,-0.381080599781563,0.7031434423733174,-0.01116940378997414,0.007103665284060897,-0.0017476065828070791,-0.0018393314358015572,-0.0018393314358015572
na_mom,:=,aii*b2,na_mom,0.01821197436781621,0.008285322501619344,2.1981008420923542,0.02794192053477218,0.0028403658212950416,0.03513102237301942,0.01821197436781621,0.019167847782382962,0.019167847782382962
na_ant,:=,aiii*b3,na_ant,-7.368424368156743e-4,0.0029606658415484927,-0.24887727161748507,0.8034557168524339,-0.00720299804042391,0.004874644035015827,-7.368424368156743e-4,-7.755163379453266e-4,-7.755163379453266e-4
pa_total,:=,c1+(a1*b1)+(a2*b2)+(a3*b3),pa_total,-0.08743348534405372,0.008505214505789572,-10.279985917408315,0,-0.10410474254858418,-0.07092671550300135,-0.08743348534405372,-0.1794689925936672,-0.1794689925936672
na_total,:=,ci+(ai*b1)+(aii*b2)+(aii*b3),na_total,0.47835852687001235,0.02236667309859108,21.38711129551695,0,0.4339351842556896,0.5227351410907787,0.47835852687001235,0.5036031682868175,0.5036031682868175
